,Movie Name,Story
20,80. Black (2005),"This drama about a deaf-mute woman, Michelle (Mukerji), and her struggle through education was loosely inspired by the true story of Helen Keller. Like most films directed by Sanjay Leela Bhansali (‘Guzaarish’), ‘Black’ is at times uncomfortably manipulative and awkward in its attempt to inspire. But there’s no denying that Bhansali conjures up gorgeous worlds. Strong heroines and stories of female ambition are still fairly rare in Hindi movies, and it’s impossible not to cheer for the determined Michelle as she stumbles in the shadows."
21,79. Thappad (2020),"‘Just a slap – but he can’t hit me,’ says a tremblingly defiant Amrita (Taapsee Pannu) in Thappad. A perfect housewife and daughter-in-law, she has found no reason to complain until in a sudden and uncharacteristic moment of stress her husband Vikram (Gulati) slaps her. It’s the first time he’s done this, but this one act opens Amrita’s eyes to the many tiny injustices of the life she’s been living. She asks for a divorce, and sticks by her decision even when she learns she is pregnant. This feminist drama tells Amrita’s story, but surrounds it with stories of the women around her – her mother, her mother-in-law, her neighbour, her lawyer, her neighbour’s daughter, her brother’s girlfriend – and their relationships with the men in their lives. Pannu’s stirring performance anchors it all.The big scene: Vikram asks their neighbour, a witness to the slap, to lie to the authorities and testify that he didn’t assault his wife. A widow, she fixes him with a beady look and mentions her beloved late husband. ‘I would like to believe men are wonderful people,’ she says, ‘so I will pretend I did not hear what you just said.’"
22,78. Bandit Queen (1994),"The novelist Arundhati Roy criticised Shekhar Kapur’s version of the life of Phoolan Devi (Biswas) for simplifying the criminal-turned-politician’s experiences to fit a typical rape-revenge story. Devi was a bandit who was jailed for acts of revenge against people who abused her as a child and who later became a politician. But ‘Bandit Queen’ remains a harrowing depiction of fearful and unforgiving lives in rural Uttar Pradesh. The film succeeds in making us all witnesses to its horrors – and complicit in them when, like so many of the characters, we say nothing."
23,77. Kabhie Kabhie (1976),"Yash Chopra’s most romantic movie is a superior Bollywood soap dealing with intergenerational love, personal sacrifices and secrets and lies in the lives of two middle-class Delhi families. College sweethearts Amit (Bachchan) and Pooja (Gulzar) separate when Pooja announces that her parents have arranged her marriage to Vijay (Kapoor). Years later, the respective adults and their teenage kids meet… The film’s strong social messages – that the past is the past and that the younger generation will marry the partners of their choice – hold true today."
24,76. Udaan (2010),"After spending eight years at a boarding school, 16-year-old Rohan (Barmecha) is expelled and returns home to Jamshedpur to discover that his father has remarried and been widowed a second time in his absence. Rohan also has a young stepbrother he knew nothing about. He dreams of becoming a writer, but instead he’s forced to work in the family business and later to attend engineering school. ‘Udaan’ offers a realistic set-up, a simple story familiar to many Indians and some superb, understated performances. This isn’t the classic idea of Bollywood, but it’s a strong film nevertheless."
25,75. Zubeidaa (2001),"The voice of Bollywood’s nightingale Lata Mangeshkar and the music of composer AR Rahman sweep through this poignant period tale about Zubeida, the beautiful mistress to a king. Karisma Kapoor plays the doe-eyed princess to perfection, and Khalid Mohamed, son of actress Zubeida Begum, wrote the script, based on the tragic life story of his own mother."
26,74. Teesri Kasam (1966),"Bullock-cart driver Hiraman (Kapoor) takes a mysterious female passenger, Hirabai (Rehman), to a faraway fair. En route, they bond over some meaningful songs and food. She reveals that she is a dancer. They arrive at their destination and the villagers speculate that Hirabai may actually be a whore. Hiraman appears oblivious; he is smitten. Pure star power, frequent songs, and scenic black-and-white cinematography of rural Bihar (the monochrome was a deliberate choice, as India’s first colour film was in 1964) combine to sustain interest in this progressive culture-class-clash love story."
27,73. Naseeb (1981),"Manmohan Desai’s star-filled film repeats his customary ‘lost and found’ formula of villains separating a young family who in adulthood reunite to seek revenge. Desai’s frequent use of two-second shots and close-ups whips the proceedings along. Like his earlier classic ‘Amar Akbar Anthony’ (1977), this is Bollywood kitsch at its best."
28,72. Zanjeer (1973),"The action-packed ‘Zanjeer’ was an early masterpiece from the writing duo Salim-Javed, giving Amitabh Bachchan his first major role and cementing his ‘Angry Young Man’ status. It’s an unapologetically bitter and stylish revenge story about an honest cop, Vijay (Bachchan), who has been haunted since childhood by nightmares about his father’s murder by a stranger – but all that’s known about the killer is that he wore a bracelet with a white stallion charm. As an adult, Vijay’s path crosses the gangster responsible, Teja (Ajit), and the stage is set for a final showdown."
29,71. Omkara (2006),"Vishal Bhardwaj’s modern ‘Othello’, set in northern India’s Uttar Pradesh, sidesteps Bollywood bombast and keeps its emotions in check. Bhardwaj extracts surprising performances from actors previously associated with more populist work: his cast display real torment and depth, particularly Saif Ali Khan as a deformed, scheming ‘Iago’ (called Langda here). ‘Omkara’ is one of Bhardwaj’s three adaptations of Shakespeare for Hindi cinema: 2003’s ‘Maqbool’ interpreted ‘Macbeth’, while 2014’s ‘Haider’ did the same for ‘Hamlet’."
30,70. Chhoti Si Baat (1975),"An expert at depicting the urban middle class, director Basu Chatterjee’s protagonist in ‘Chhoti Si Baat’ is once again a simple man (played expertly by Palekar) faced with simple problems and finding simple solutions to deal with them. Arun is an unconfident man who fantasises about wooing Prabha (Sinha). He is taken under the wing of a fun-loving colonel (Kumar), who helps young men overcome their shortcomings. An adaptation of ‘School for Scoundrels’, the film is best remembered for its portrayal of 1970s Bombay and its quirky humour."
31,69. Jewel Thief (1967),"This spy thriller tells of Vinay (Anand), an ordinary young man with a striking resemblance to a jewel thief, Amar (also Anand). It’s three hours of decadence, with loose gems, fast women and a hero on the run. Its staying power comes not just from its extraordinary visual indulgences – the film is candy-coloured, classy and sexy – but also from a brilliant script that carefully reveals layer after layer and eventually turns one of Hindi cinema’s favourite tropes on its head. Almost 50 years later, watching the details unfold is still a breathtaking experience."
32,68. Devdas (2002),"Extravagant yet still full of heart: Sanjay Leela Bhansali’s opulent adaptation of Sarat Chandra’s simplistic novel marked a move into excessive theatricality for the director, whose films since include ‘Guzaarish’ and ‘Saawariya’. His style was at its most organic and daring in ‘Devdas’. Its main characters, Devdas (Khan) and Paro (Rai), are childhood lovers, but class differences and difficult parents cause them to separate. Full of spite, Devdas goes on a drinking binge and ends up in the arms of a dancing girl, Chandramukhi (Dixit). Chandramukhi falls in love with a broken Devdas, but he can’t think of anything beyond Paro, alcohol and death."
33,67. Gunga Jumna (1961),"This 1961 drama helped to set the template for what would become a Bollywood staple: stories of brothers on opposite sides of the law. Poverty-stricken villager Gunga (Kumar) scrapes together just enough money to fund an education for his younger brother Jumna (Khan). Jumna becomes a police officer, while Gunga joins a group of bandits after heroically defending his love against a powerful landowner. The brothers head towards an unavoidable face-off."
34,66. Madhumati (1958),"Director Bimal Roy’s rare foray into commercial cinema was a heady cocktail of revenge, romance and reincarnation, with a supernatural element thrown in. City-bred Anand (Kumar) moves to a village to manage the estate of the evil Ugaranarayan (the legendary Pran), who rapes and murders Anand’s lover, Madhumati (Vyjayantimala). A grief-stricken Anand finds a lookalike of Madhumati and talks her into luring Ugaranayaran to confess his crime. The film boasts a brilliant score by Salil Choudhury."
35,65. Chandni (1989),"It’s the ultimate love triangle: Rohit (Kapoor) and Chandni (Sridevi) meet at a wedding and fall in love. But just before they get married, an accident takes away Rohit’s legs and self-esteem, forcing Chandni to exit the relationship. She meets Lalit (Khanna), who himself is nursing a broken heart, and things get complicated. Director Yash Chopra’s clever handling of the story, which offers a distinctly female perspective on troubled love, makes ‘Chandni’ rise way above the pack."
36,64. Jagte Raho (1956),"This experimental film by directing duo Amit Maitra and Sombhu Mitra sees Raj Kapoor playing a thirsty villager stuck in a city apartment block after being mistaken for a thief. Kapoor’s unnamed character moves from one part of the building to another, coming across several people, all of whom hide murky secrets. This largely single-character-driven film features several cameo appearances by well-known Hindi film actors, each playing various urban folk who Kapoor is first scared of, and later comes to despise."
37,63. Secret Superstar (2017),"The highest grossing Indian film to boast a female lead, ‘Secret Superstar’ is more than just another Bollywood musical. The film follows the journey of Insia (Wasim), a teenager who dreams of escaping her abusive father and becoming a singer. After a video of herself singing a song while wearing a niqab to protect her identity goes viral, she has to either face her father’s wrath or give up her dream. At its heart, though, this is a film about the relationship between mother and daughter that explores women’s positions in India’s traditional, male-dominated society.  "
38,62. Sharmeelee (1971),"‘Sharmeelee’ is a typical example of that Bollywood storytelling staple: good twin versus bad twin. Ajit (Kapoor) marries the shy Kanchan (Raakhee), thinking she is the vivacious Kamini (also Raakhee), not realising they are identical twins. Kamini spots the couple at a nightclub and decides she can have the domestic bliss she craves by eradicating her meek sister and taking her place. The outlandish plot is played straight as it clumsily examines the nature of surface beauty and inner goodness. The film’s main selling point today is SD Burman’s soundtrack, especially the undervalued Lata Mangeshkar solo ‘Megha Chhaye Aadhi Raat’ (‘Dark clouds have covered the skies’)."
39,61. Parineeta (1953),"Understated elegance is the order of the day in this adaptation of a Bengali novel. As brought to life by director Bimal Roy, it’s a nuanced tale of true love lost and found, with astute performances from celebrated actors Ashok Kumar and Meena Kumari. The 2005 remake was similarly well received, and made Vidya Balan an overnight star in India."
40,60. Lootera (2013),"Vikramaditya Motwane re-imagined O Henry’s short story ‘The Last Leaf’ for this film about a simple girl, Pakhi (Sinha), who falls in love with a robber, Varun (Singh), when he arrives in her town pretending to be an archaeologist. Effectively recreating the 1950s era, complete with Dev Anand film songs playing on the radio, ‘Lootera’ brought together an ace technical team made up of production designer Aditya Kanwar and cinematographer Mahendra Shetty, who gave the film a distinct, lush period look."
41,59. Hum Hain Rahi Pyar Ke (1993),"In this remake of Cary Grant’s ‘Houseboat’ (1958), Vyjayanti (Chawla), the bubbly daughter of a conservative Tamil family, escapes from an upcoming forced marriage and finds kindred spirits in three children who decide to hide her at their home, under the nose of their guardian Rahul (Khan). When Rahul discovers her, she becomes the children’s governess and what follows is a story of love between opposites. A wonderfully sweet soundtrack accompanies this delightful, light and entertaining family comedy."
42,58. Garam Hawa (1973),"Also known as ‘Scorching Winds’, this is perhaps the most important and accurate Indian film to depict the plight of minority Muslims in northern India following Partition in 1947. Set in the late 1940s, Salim (Sahni), an elderly Muslim shoemaker must decide whether or not to leave his ancestral home in Agra and migrate across the border to newly-created Pakistan. Meanwhile, Hindu-Muslim tensions at home threaten to rip apart his family. Director MS Sathyu, a Marxist activist, created a heart-wrenching tale of innocent lives torn apart by hatred and suspicion. Balraj Sahni’s noble performance will move you to tears, and the issues are equally relevant to India today."
43,57. Mr & Mrs ’55 (1955),"Director Guru Dutt uses a familiar plot to hilarious effect in this satire of India’s urban upper class in the post-independence period. Anita (Madhubala) can only inherit her father’s wealth if she gets married – leading her feminist aunt to suggest that she goes through a ‘fake’ marriage with cartoonist Preetam (Dutt) and then ‘divorce’ as soon as possible afterwards. But, of course, both Anita and Preetam fall in love… Dutt’s unique directing style is put to inventive use during the songs: the camera appears never to sit still. The film is best remembered today for the tunes sung by Geeta Dutt (the director’s wife) and for being truly funny. It’s an irresistible and impeccably cast film."
44,56. Aiyyaa (2012),"Filmmaker Sachin Kundalkar took one of three parallel stories he previously told in the 2009 Marathi-language film ‘Gandha’ and turned it into a madcap Hindi comedy with fantasy elements. Meenakshi (Mukerji) falls in love with Tamil boy Surya (Prithviraj) after she’s drawn to his smell. The bizarre characters around Meenakshi include her father, who smokes four cigarettes at once; a grandmother with gold teeth; and her friend Mynah (a superb Date), who has a weird Lady Gaga obsession."
45,55. Satyam Shivam Sundaram (1978),"Raj Kapoor’s attempt to portray the conflict between the sacred and the profane, and to show that beauty is only skin deep, is an admittedly patchy affair. When engineer Ranjeev (Shashi Kapoor) hears the religious songs sung by ‘ugly’ village belle Rupa (Aman), he is convinced her face will be as beautiful as her voice. He marries her without seeing her, so the shallow groom is understandably upset on his wedding night. It’s a flawed masterpiece that is guilty of exactly of what it purports to criticise. But it’s also groundbreaking for its sexual explicitness, including wet kisses. Excellent soundtrack, too."
46,"54. Baahubali: The Beginning & Baahubali 2: The Conclusion (2015, 2017)","These blockbusters play like the Bollywood ‘Black Panther’. Inspired by Indian mythology and the Amar Chitra Katha comic-book series, director SS Rajamouli’s two-part fantasy epic about a young man, Shivudu, who later discovers his name is Mahendra Baahubali (don’t ask, it’s complicated), offers some of the most spectacular Indian cinema ever made. Both films blend high fantasy and action with an almost Shakespearean sense of drama, resulting in a double bill that knows when to rein it in. Just. Like the ‘Wakanda forever!’ salute in ‘Black Panther’, ‘Baahubali’ will always be associated with the chant ‘Jai Mahishmathi’. "
47,53. Sahib Bibi Aur Ghulam (1962),"‘Sahib Bibi Aur Ghulam’ is a period film about the end of an era. Abrar Alvi’s adaptation of a Bengali novel by Bimal Mitra is about the stormy relationship between a rich, decadent business owner (Rehman), his lovelorn wife (Meena Kumari) and their young servant (Guru Dutt). It’s all told against the backdrop of the last days of the old system of zamindari (a way of collecting tax) in colonial, nineteenth-century Bengal. Shot with great sensitivity and innovation by Guru Dutt’s main man VK Murthy, ‘Sahib Bibi Aur Ghulam’ is a more romantic twin to Satyajit Ray’s ‘Jalsaghar’."
48,52. Tezaab (1988),"Actor Anil Kapoor followed his 1987 super-hit ‘Mr India’ with this film (the title means ‘Acid’) that gave actress Madhuri Dixit her breakout role, swept the box office and won four Filmfare awards (Bollywood’s equivalent to the Oscars). It tells of a criminal, Munna (Kapoor), trying to get himself back on the right side of the law while also attempting to rescue his love, Mohini (Dixit), from the grasp of her villainous father. It’s passionate and violent."
49,51. Sangam (1964),"This is cinema as love song. Two best friends from childhood, Sunder (Kapoor) and Gopal (Kumar) love the same girl, Radha (Vyjayanthimala). She marries Sunder, the one she doesn’t love, but then he goes missing at war. When Sunder returns, the discovery of an old love letter sows seeds of suspicion and friendships are tested. The standard love-triangle template is made exotic by Shankar-Jaikishan’s timeless music and Raj Kapoor’s love for foreign locales."
50,50. Rockstar (2011),"Ranbir Kapoor embodied the film’s tortured, Jim Morrison-like protagonist Jordan so convincingly that he had to keep reminding people that he wasn’t a real rock star. Jordan is one of Indian cinema’s most complex male characters. This, as well as glimpses of hidden India – like Nizamuddin Dargah, the mausoleum of Sufi saint Nizamuddin Auliya, in Delhi – and the last appearance of Bollywood legend Shammi Kapoor (‘Junglee’) make ‘Rockstar’ a noteworthy addition to the rock biopic pantheon."
51,49. Main Hoon Na (2004),"Military man Ram (Khan) goes undercover as a university student in the name of peace between India and Pakistan. While stalking the villain, Ram also loses his heart to a chemistry professor. ‘Main Hoon Na’ exists in a knowingly meta world where global superstar Shah Rukh Khan involuntarily bursts into song every time Miss Universe (Sen) glides by. The film dances that fine line between parody and celebration like no mainstream Hindi film before or since. It’s a celebration of all things filmi – family reunions, the redemptive power of love, fantasies played out in song – while also reveling in how ridiculous it can all be."
52,48. Queen (2014),"A fiercely original filmmaking style and a novel plot made ‘Queen’ stand apart from all other 2014 releases, helping it to emerge as a critical and box-office hit. In a career-altering performance, Kangana Ranaut plays Rani, a sheltered small-town girl who decides to go on her honeymoon to Europe alone after she’s jilted at the altar. Writer-director Vikas Bahl displays a strong flair for capturing human behaviour and peppers a simple story with lovable characters and witty lines."
53,47. Mera Naam Joker (1970),"Director-star Raj Kapoor’s semi-autobiographical magnum opus is four hours of self-loathing angst, which crashed at the box office and almost bankrupted the director-actor. A sad clown, Raju (Kapoor), invites the women he loved and lost in his life to his last ever performance. Told in three ‘chapters’, this overlong film is awash with iffy symbolism about the meaning of life, exhibits a questionable attitude towards women and is burdened with a mother-fixation subplot. But for all its flaws, this is no-holds-barred epic filmmaking with a moving soundtrack."
54,46. Kuch Kuch Hota Hai (1998),"Director Karan Johar began his association with Shah Rukh Khan with this romantic drama partly inspired by the Archie-Veronica-Betty trio in the American Archie comics. Rahul (Khan) and Anjali (Kajol) are best friends studying in the same college, but the tomboyish Anjali is threatened by the arrival of Tina (Mukerji). Years later, widower Rahul reconnects with Anjali. The film was a runaway hit, best remembered for Khan and Kajol’s sizzling chemistry and Jatin-Lalit’s music."
55,45. Velu Nayakan (1999),"‘Nayakan’, the original, 1987 Tamil version of this film, was dubbed into Hindi in 1999 to become ‘Velu Nayakan’. An epic crime movie, it’s loosely based on the life of Varadarajan Mudaliar (here becoming Velu Nayakan, played by Haasan), a real mafia slumlord in Bombay, and also explores the struggle of south Indians living in the city. It drew inspiration from Francis Ford Coppola’s ‘The Godfather’. The song ‘Thenpandi cheemaiyile’ tops a much-admired soundtrack by veteran Indian film composer Ilaiyaraaja, who has now scored over 1000 films in his career."
56,44. Enthiran: The Robot (2010),empty
57,43. Maine Pyar Kiya (1989),"Prem (Khan), a boy from a wealthy family, pursues forbidden love with working-class girl Suman (Bhagyashree). So far, so Bollywood, but ‘Maine Pyar Kiya’ managed simultaneously to kickstart megastar Salman Khan’s career, cement director Sooraj Barjatya’s box-office clout and redefine romance and friendship in Bollywood in a way that wasn’t bettered for years. Released in a decade signified by violent masala flicks, this family-friendly film with an evergreen soundtrack and iconic dialogue was immediately and widely admired."
58,42. Khakee (2004),"Amitabh Bachchan broke on to the scene with the role of angst-ridden cop Vijay in ‘Zanjeer’ (1973). ‘Khakee’ explores what would have happened to the character 30 years later. Vijay is an honest policeman who gets entangled in an operation that involves transferring a terrorist from a small village to the city. But as the ageing officer and his team go about their mission, they realise there are influential people who want the terrorist dead – so their lives are in danger too."
59,41. The Lunchbox (2013),"Ritesh Batra’s debut film turned out to be India’s most popular export in recent times, with rave reviews at Cannes followed by a wide release in the US, where the film ended up among the highest-grossing foreign-language films of the year. Simply structured yet purposeful, ‘The Lunchbox’ focuses on the lives of two lonely individuals, Saajan (Khan) and Ila (Kaur). Both jostle for some peace and happiness amid the buzz and mayhem of Mumbai, as they share notes through a tiffin box delivered back and forth."
60,40. Dil Se.. (1998),"‘Dil Se..’ was acclaimed south Indian filmmaker Mani Ratnam’s big plunge into Bollywood, achieved by teaming up with superstar Shah Rukh Khan. A box-office failure at the time, this story of a Delhi journalist falling in love with a terrorist has gained popularity in the years since. Ratnam’s interest in political issues may have clashed with Khan’s lover-boy image at the time, but at least the actor has one solid drama in his otherwise monotonous filmography."
61,39. Kabhi Khushi Kabhie Gham… (2001),"‘It’s all about loving your parents,’ screamed the trailer for ‘Kabhi Khushi Kabhie Gham…’, a film that piled on the mush in true Karan Johar (‘My Name is Khan’) style. Here, Johar brought together a dream cast to play a fractured family. Billionaire Yashvardhan (Bachchan) is an authoritarian who banishes his adopted son Rahul (Khan) for marrying a woman against his wishes. Years later, Raj’s brother Rohan (Roshan) strives to bring the family together. Boasting opulent production design, lavish musical set pieces and an orgy of superstars, ‘K3G’ (as the film came to be known) is guilty-pleasure Bollywood at its best."
62,38. Jodhaa Akbar (2008),"This story of real-life Mughal emperor Akbar (Roshan) and his Hindu wife Jodhaa (Bachchan) doesn’t exactly follow the facts. But when artistic license is exercised so beautifully, who cares? Ashutosh Gowariker, director of the Oscar-nominated ‘Lagaan’, executes a perfect balance of spectacle, performances, ideas and story, never sacrificing the entertainment factor and allowing us to bask in the costumes and production design. He drenches his always-timely message of respect for all faiths in immeasurable imperial pomp."
63,37. Ghajini (2008),"Bearing many similarities to Christopher Nolan’s ‘Memento’, this way-over-the-top thriller leans heavily on its main character’s short-term-memory loss. Sanjay (Aamir Khan) is a leading Indian businessman, while Kalpana (Asin), a model, brags to everyone that she is Sanjay’s girl even though they’ve never met. When Sanjay discovers this, he decides to confront her but soon falls in love. However, Kalpana falls foul of a local crime lord and Sanjay is determined to avenge her death… ‘Ghajini’ was an enormous hit in India."
